time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration
2020-07-24 10:53:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6108,1,0.0,gtc,,0.0,1,
2020-07-24 10:54:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6217,1,0.0,gtc,,0.0,1,
2020-07-24 10:55:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6329,1,0.0,gtc,,0.0,1,
2020-07-24 10:56:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6442,1,0.0,gtc,,0.0,1,
2020-07-24 10:57:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6557,1,0.0,gtc,,0.0,1,
2020-07-24 10:58:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6674,1,0.0,gtc,,0.0,1,
2020-07-24 10:59:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6794,1,0.0,gtc,,0.0,1,
2020-07-24 11:00:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,6915,1,0.0,gtc,,0.0,1,
2020-07-24 11:01:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7039,1,0.0,gtc,,0.0,1,
2020-07-24 11:02:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7165,1,0.0,gtc,,0.0,1,
2020-07-24 11:03:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7293,1,0.0,gtc,,0.0,1,
2020-07-24 11:04:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7423,1,0.0,gtc,,0.0,1,
2020-07-24 11:05:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7556,1,0.0,gtc,,0.0,1,
2020-07-24 11:06:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7691,1,0.0,gtc,,0.0,1,
2020-07-24 11:07:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7829,1,0.0,gtc,,0.0,1,
2020-07-24 11:08:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,7969,1,0.0,gtc,,0.0,1,
2020-07-24 11:09:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,8112,1,0.0,gtc,,0.0,1,
2020-07-24 11:10:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,8257,1,0.0,gtc,,0.0,1,
2020-07-24 11:11:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,8404,1,0.0,gtc,,0.0,1,
2020-07-24 11:12:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,8555,1,0.0,gtc,,0.0,1,
2020-07-24 11:13:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,8708,1,0.0,gtc,,0.0,1,
2020-07-24 11:14:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,8863,1,0.0,gtc,,0.0,1,
2020-07-24 11:15:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,9022,1,0.0,gtc,,0.0,1,
2020-07-24 11:16:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,9183,1,0.0,gtc,,0.0,1,
2020-07-24 11:17:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,9348,1,0.0,gtc,,0.0,1,
2020-07-24 11:18:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,9515,1,0.0,gtc,,0.0,1,
2020-07-24 11:19:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,9685,1,0.0,gtc,,0.0,1,
2020-07-24 11:20:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,9858,1,0.0,gtc,,0.0,1,
2020-07-24 11:21:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,10035,1,0.0,gtc,,0.0,1,
2020-07-24 11:22:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,10214,1,0.0,gtc,,0.0,1,
2020-07-24 11:23:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,10397,1,0.0,gtc,,0.0,1,
2020-07-24 11:24:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,10583,1,0.0,gtc,,0.0,1,
2020-07-24 11:25:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,10772,1,0.0,gtc,,0.0,1,
2020-07-24 11:26:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,10965,1,0.0,gtc,,0.0,1,
2020-07-24 11:27:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,11161,1,0.0,gtc,,0.0,1,
2020-07-24 11:28:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,11360,1,0.0,gtc,,0.0,1,
2020-07-24 11:29:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,11564,1,0.0,gtc,,0.0,1,
2020-07-24 11:30:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,11771,1,0.0,gtc,,0.0,1,
2020-07-24 11:31:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,11981,1,0.0,gtc,,0.0,1,
2020-07-24 11:32:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,12195,1,0.0,gtc,,0.0,1,
2020-07-24 11:33:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,12414,1,0.0,gtc,,0.0,1,
2020-07-24 11:34:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,12636,1,0.0,gtc,,0.0,1,
2020-07-24 11:35:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,12862,1,0.0,gtc,,0.0,1,
